Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2017-06-16,49.579,50.03,49.516,49.998,2929900,0.0,0.0
2017-06-19,49.983,50.077,49.461,49.643,966300,0.0,0.0
2017-06-20,49.666,49.816,49.516,49.69,905300,0.0,0.0
2017-06-21,49.769,49.864,49.334,49.587,1168200,0.0,0.0
2017-06-22,49.421,49.571,49.152,49.176,842600,0.0,0.0
2017-06-23,49.113,49.469,49.105,49.216,1485200,0.0,0.0
2017-06-26,49.342,49.682,49.113,49.54,1050300,0.0,0.0
2017-06-27,49.303,49.421,48.773,49.01,1779900,0.0,0.0
2017-06-28,49.224,49.255,48.378,48.409,985500,0.0,0.0
2017-06-29,48.259,48.757,47.848,47.99,1076700,0.0,0.0
2017-06-30,47.99,48.354,47.903,47.998,1799300,0.0,0.0
2017-07-03,48.022,48.077,47.721,47.761,798700,0.0,0.0
2017-07-05,47.856,47.856,47.358,47.492,1414900,0.0,0.0
2017-07-06,47.366,47.508,47.168,47.429,1334900,0.0,0.0
2017-07-07,47.492,47.706,47.366,47.492,1164100,0.0,0.0
2017-07-10,47.555,47.753,47.358,47.366,1321000,0.0,0.0
2017-07-11,47.421,47.516,47.081,47.294,1244600,0.0,0.0
2017-07-12,47.682,47.879,47.397,47.453,1616800,0.0,0.0
2017-07-13,47.445,47.603,47.247,47.358,1325300,0.0,0.0
2017-07-14,47.729,47.808,47.492,47.611,932500,0.0,0.0
2017-07-17,47.603,47.777,47.405,47.69,902500,0.0,0.0
2017-07-18,47.777,47.935,47.69,47.785,979400,0.0,0.0
2017-07-19,47.879,48.014,47.729,47.966,862800,0.0,0.0
2017-07-20,47.99,48.401,47.903,48.393,1004400,0.0,0.0
2017-07-21,48.322,48.67,48.204,48.654,1223700,0.0,0.0
2017-07-24,48.662,48.67,47.919,48.022,1071400,0.0,0.0
2017-07-25,48.053,48.085,47.737,47.816,886400,0.0,0.0
2017-07-26,47.753,48.196,47.674,48.18,944800,0.0,0.0
2017-07-27,48.077,48.299,47.753,47.998,2204700,0.0,0.0
2017-07-28,47.943,48.204,47.611,47.856,1116300,0.0,0.0
2017-07-31,47.753,48.188,47.642,48.061,1190300,0.0,0.0
2017-08-01,48.172,48.275,47.864,48.14,1807300,0.0,0.0
2017-08-02,47.943,48.275,47.729,48.275,1153800,0.0,0.0
2017-08-03,48.188,48.923,48.188,48.923,1955000,0.0,0.0
2017-08-04,48.812,48.884,48.33,48.686,1175000,0.0,0.0
2017-08-07,48.694,49.081,48.544,49.057,1525800,0.0,0.0
2017-08-08,48.978,49.295,48.836,49.263,1030300,0.0,0.0
2017-08-09,49.445,49.445,48.725,48.804,1427600,0.0,0.0
